M90C-6S8K1,"XPC M90C UPS bundle;   8KVA/8KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 8kVA Power Module, (1) Battery Module providing 6 minutes runtime @ 8KVA/8KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 314 lbs.","$16,047.00 ",,
M90C-6S8K2,"XPC M90C UPS bundle;   8KVA/8KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 8kVA Power Module, (2) Battery Module providing 16 minutes runtime @ 8KVA/8KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 421 lbs.","$18,079.00 ",,
M90C-6S8K3,"XPC M90C UPS bundle;   8KVA/8KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 8kVA Power Module, (3) Battery Module providing 26 minutes runtime @ 8KVA/8KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 528 lbs.","$20,111.00 ",,
M90C-6S8K4,"XPC M90C UPS bundle;   8KVA/8KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 8kVA Power Module, (4) Battery Module providing 37 minutes runtime @ 8KVA/8KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 635 lbs.","$22,143.00 ",,
M90C-6S8K5,"XPC M90C UPS bundle;   8KVA/8KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (1) 8kVA Power Module, (5) Battery Module providing 49 minutes runtime @ 8KVA/8KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 742 lbs.","$24,175.00 ",,
,,,,
Model,Description, List Price  ,,
M90C-6S10K2,"XPC M90C UPS bundle;   10KVA/10KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 5kVA Power Modules, (2) Battery Module providing 12  minutes runtime @ 10KVA/10KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 459 lbs.","$22,116.00 ",,
M90C-6S10K3,"XPC M90C UPS bundle;   10KVA/10KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 5kVA Power Modules, (3) Battery Module providing 20  minutes runtime @ 10KVA/10KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 566 lbs.","$24,148.00 ",,
M90C-6S10K4,"XPC M90C UPS bundle;   10KVA/10KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 5kVA Power Modules, (4) Battery Module providing 28  minutes runtime @ 10KVA/10KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 673 lbs.","$26,180.00 ",,
,,,,
Model,Description, List Price  ,,
M90C-6S15K2,"XPC M90C UPS bundle;   15KVA/15KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (3) 5kVA Power Module, (2) Battery Module providing 7  minutes runtime @ 15KVA/15KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 604 lbs.","$26,953.00 ",,
M90C-6S15K3,"XPC M90C UPS bundle;   15KVA/15KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (3) 5kVA Power Module, (3) Battery Module providing 12  minutes runtime @ 15KVA/15KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 711 lbs.","$28,985.00 ",,
,,,,
Model,Description, List Price  ,,
M90C-6S16K2,"XPC M90C UPS bundle;   16KVA/16KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 8kVA Power Module, (2) Battery Module providing 6  minutes runtime @ 16KVA/16KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 459 lbs.","$23,716.00 ",,
M90C-6S16K3,"XPC M90C UPS bundle;   16KVA/16KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 8kVA Power Module, (3) Battery Module providing 11 minutes runtime @ 16KVA/16KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 566 lbs.","$25,748.00 ",,
M90C-6S16K4,"XPC M90C UPS bundle;   16KVA/16KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (2) 8kVA Power Module, (4) Battery Module providing 16 minutes runtime @ 16KVA/16KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 673 lbs.","$27,780.00 ",,
,,,,
Model,Description, List Price  ,,
M90C-6S24K3,"XPC M90C UPS bundle;  24KVA/24KW;  On Line-Tower  Configuration, 120/208V Three-Phase In/Out, Hardwired in/out, Large LCD Screen, Casters, Floor mount bracket; Communications Module;  Bundle includes  M90C-ENC6 6 Slot Enclosure with Integral Front Access Maintenance Bypass,   (3) 8kVA Power Module, (3) Battery Module providing 16 minutes runtime @ 24KVA/24KW load, blank panels;  RS-232, USB, dry contacts, EPO, (2) intelligent slots for optional cards (Web/SNMP, Relay, Modbus);  Communication Software and Cable.  UL-1778 (TUV), cUL, FCC, RoHS; 2 year UPS and battery warranty (USA and Canada). Enclosure, Power Module, and Battery Module shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 711 lbs.","$31,385.00 ",,
,,,,
Model,Description, List Price  ,,
M90S-BC7-1,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (1)  battery module; (6) blank panels;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada).   Increases runtime to __ minutes runtime @ __KVA/__KW load;   Enclosure and Battery Modules shipped seperately.     Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 269 lbs","$7,408.00 ",,
M90S-BC7-2,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (2)  battery module; (5) blank panels;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada).    Increases runtime to __ minutes runtime @ __KVA/__KW load;   Enclosure and Battery Modules shipped seperately.      Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 376 lbs","$9,440.00 ",,
M90S-BC7-3,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (3)  battery module; (4) blank panels;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada).   Increases runtime to __ minutes runtime @ __KVA/__KW load;   Enclosure and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 483 lbs","$11,472.00 ",,
M90S-BC7-4,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (4)  battery module; (3) blank panels;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada)..   Increases runtime to __ minutes runtime @ __KVA/__KW load;  Enclosure and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 590 lbs","$13,504.00 ",,
M90S-BC7-5,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (5)  battery module; (2) blank panels;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada).   Increases runtime to __ minutes runtime @ __KVA/__KW load;  Enclosure and Battery Modules shipped seperately.   Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 697 lbs","$15,536.00 ",,
M90S-BC7-6,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (6)  battery module; (1) blank panel;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada).   Increases runtime to __ minutes runtime @ __KVA/__KW load;   Enclosure and Battery Modules shipped seperately.  Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 804 lbs","$17,568.00 ",,
M90S-BC7-7,"XPC M90C Battery Cabinet bundle; Includes XPC M90S-BC7  7 Slot External Battery Enclosure; (7)  battery modules;  DC Breaker; Casters.   2 year  battery warranty (USA and Canada)..   Increases runtime to __ minutes runtime @ __KVA/__KW load;   Enclosure and Battery Modules shipped seperately.  Dims: 17.4""W X 33.7""D x 45.5""H.  Weight: 911 lbs","$19,600.00 ",,
,,,,
Model,Description, List Price  ,,
SNMP-2PG1,"Internal two port SNMP/WEB Card for use with M90C, M90 and M90L Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-TMPH teperature and humidity probe;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$649.00 ,,
SNMP-TMPH,"Temperature and humidity Probe -  used with SNMP-2PG1 SNMP/WEB Card. Packaging = 7.25""W x 6.0""D x 2.5""H, 1.0 lbs",$299.00 ,,
MODBUS-IN,"MODBUS CARD for use with the XPC UPS; packaging = 7.25"" x 6.0"" x 2.5"", 1.0 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 7.25"" x 6.0"" x 2.5"", 1.0 lbs",$120.00 ,,
,,,,
Model,Description, List Price  ,,
MCSU58OS1,"M90C  5x8 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance.  ","$3,900.00 ",,
MCSU58OS2,"M90C  5x8 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$4,500.00 ",,
MCSU58OS3,"M90C  5x8 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,100.00 ",,
MCSU724OS1,"M90C  7x24 Startup and 1 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,070.00 ",,
MCSU724OS2,"M90C  7x24 Startup and 2 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioning of UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$5,850.00 ",,
MCSU724OS3,"M90C  7x24 Startup and 3 year on-site warranty. For Zone 1 (within 100 miles of XPC Service Center). StartUP includes verification of installation, inspection of UPS and commisioningof UPS  by the Startup technician.  On-site Warranty covers labor for corrective maintenance. ","$6,630.00 ",,
MCPM58,"M90C Preventative Maintenance Service, 5x8. For Zone 1 (within 100 miles of XPC Service Center).","$3,500.00 ",,
MCPM724,"M90C Preventative Maintenance Service, 7x24. For Zone 1 (within 100 miles of XPC Service Center).","$4,550.00 ",,
SVCADD,Service adder for locations further than 100 miles.,"$1,050.00 ",,
,,,,
Model,Description, List Price  ,,
M90-ENC (Unity PF),"Xtreme Power M90U (Unity PF)  Series modular  online  208/120 VAC three-phase UPS enclosure set up for internal battery.  Includes 5.7"" LCD, static switch, and maintenance bypass switch ; 94% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCCA, RoHS; 2 Year  Parts Warranty;   Start-up and onsite labor is not included;  20.3"" W x 39.4"" D x 54.0"" H. 474  lbs. Enclosure can accomodate up to 3 x 20k for 60KVA  for 45KVA (or 3 x 15K for 45KVA) M90 (Unity PF) Power Modules and up to 12 M90 battery trays. Power modules and battery trays ordered seperately.","$14,200.00 ",,
M90L-ENC (Unity PF),"Xtreme Power M90U (Unity PF) Series modular  online 208/120 VAC three-phase UPS enclosure set up for external battery (no internal batteries).  Includes 5.7"" LCD, static switch, and maintenance bypass switch ; 94% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCCA, RoHS; 2 Year Parts Warranty;  Start-up and onsite labor is not included; 20.3"" W x 39.4"" D x 30"" H. 227  lbs. Enclosure can accomodate up to 3 x 20k for 60KVA  (or 3 x 15K for 45KVA) M90U (Unity PF)  Power Modules.  Power modules and external battery ordered seperately.","$10,300.00 ",,
